class,order,family,genus,species,common_name,count_train,count_validation,count_test
Reptilia,Squamata,Scincidae,Ctenotus,inornatus,Bar-shouldered Ctenotus,14,0,0
Mammalia,Monotremata,Tachyglossidae,,,Echidna Family,14,0,0
Aves,Passeriformes,Pellorneidae,Pellorneum,ruficeps,Puff-throated Babbler,14,2,0
Aves,Pelecaniformes,Ardeidae,Botaurus,poiciloptilus,Australasian Bittern,14,0,0
Mammalia,Carnivora,Phocidae,,,Phocidae Family,14,0,0
Aves,Piciformes,Picidae,Melanerpes,erythrocephalus,Red-headed Woodpecker,14,1,0
Mammalia,Cingulata,Chlamyphoridae,Cabassous,,Cabassous Species,14,1,0
Aves,Passeriformes,Sturnidae,Acridotheres,tristis,Common Myna,14,0,0
Aves,Coraciiformes,Meropidae,Merops,ornatus,Rainbow Bee-eater,13,0,0
Mammalia,Primates,Lemuridae,Lemur,,Lemur Species,13,0,0
Aves,Cuculiformes,Cuculidae,Chalcites,basalis,Horsfield's Bronze-cuckoo,13,29,0
Mammalia,Carnivora,Herpestidae,Bdeogale,jacksoni,Jackson's Mongoose,13,13,0
Aves,Galliformes,Numididae,,,Guineafowl Family,13,10,1
Aves,Passeriformes,Cisticolidae,Cisticola,cherina,Madagascar Cisticola,13,0,0
Aves,Gruiformes,Rallidae,Porphyrio,porphyrio,Purple Swamphen,13,0,0
Aves,Passeriformes,Icteridae,Molothrus,oryzivorus,Giant Cowbird,13,0,0
Mammalia,Rodentia,Sciuridae,Funambulus,palmarum,Common Palm Squirrel,13,0,0
Aves,Galliformes,Phasianidae,Lyrurus,tetrix,Black Grouse,13,31,0
Mammalia,Rodentia,Erethizontidae,Coendou,rufescens,Stump-tailed Porcupine,13,0,0
Aves,Anseriformes,Anatidae,Aythya,collaris,Ring-necked Duck,13,0,0
Reptilia,Squamata,Teiidae,Tupinambis,teguixin,Black Tegu,13,1,0
Aves,Piciformes,Picidae,Campephilus,,Campephilus Species,13,0,2
Aves,Passeriformes,Turdidae,Turdus,boulboul,Grey-winged Blackbird,13,0,0
Aves,Passeriformes,Pachycephalidae,Pachycephala,rufiventris,Rufous Whistler,13,0,0
Aves,Passeriformes,Cotingidae,Porphyrolaema,porphyrolaema,Purple-throated Cotinga,13,0,0
Mammalia,Rodentia,Erethizontidae,Coendou,,Coendou Species,13,0,7
Mammalia,Rodentia,Dipodidae,Napaeozapus,insignis,Woodland Jumping Mouse,13,0,0
Aves,Passeriformes,Pardalotidae,Pardalotus,punctatus,Spotted Pardalote,13,0,0
Mammalia,Rodentia,Cricetidae,Peromyscus,californicus,California Mouse,12,0,0
Aves,Charadriiformes,Scolopacidae,Tringa,solitaria,Solitary Sandpiper,12,9,0
Aves,Columbiformes,Columbidae,Streptopelia,,Streptopelia Species,12,0,0
Aves,Columbiformes,Columbidae,Leptotila,plumbeiceps,Grey-headed Dove,12,3,0
Mammalia,Rodentia,Muridae,Apodemus,agrarius,Striped Field Mouse,12,0,0
Mammalia,Primates,Cercopithecidae,Presbytis,hosei,Hose's Langur,12,6,0
Aves,Sphenisciformes,Spheniscidae,Aptenodytes,forsteri,Emperor Penguin,12,0,0
Aves,Anseriformes,Anatidae,Anas,fulvigula,Mottled Duck,12,0,0
Aves,Passeriformes,Muscicapidae,Ficedula,zanthopygia,Yellow-rumped Flycatcher,12,0,0
Reptilia,Squamata,Iguania,Intellagama,lesueurii,Eastern Water Dragon,12,10,5
Aves,Piciformes,Lybiidae,Gymnobucco,bonapartei,Barbican à gorge grise,12,0,0
Aves,Gruiformes,Rallidae,Gallinula,tenebrosa,Dusky Moorhen,12,6,0
Aves,Procellariiformes,Oceanitidae,Fregetta,grallaria,White-bellied Storm-petrel,12,0,0
Aves,Pelecaniformes,Ardeidae,Cochlearius,,Cochlearius Species,12,0,0
Aves,Passeriformes,Paridae,Poecile,carolinensis,Carolina Chickadee,12,7,0
Mammalia,Chiroptera,Pteropodidae,Cynopterus,brachyotis,Lesser Dog-faced Fruit Bat,12,0,0
Aves,Anseriformes,Anatidae,Anas,rubripes,American Black Duck,12,0,0
Aves,Pelecaniformes,Threskiornithidae,Theristicus,caerulescens,Plumbeous Ibis,12,0,0
Aves,Passeriformes,Corvidae,Corvus,albicollis,White-necked Raven,12,0,0
Aves,Passeriformes,Grallariidae,Hylopezus,,Hylopezus Species,12,0,0
